sample_id,method,operator,condition
sample_001,raman,A,control
sample_002,raman,B,control
sample_003,raman,,control
sample_004,raman,D,test
sample_005,raman,E,test
sample_006,raman,A,test
sample_007,raman,B,control
sample_008,raman,C,test
sample_009,raman,D,control
sample_010,raman,E,control
sample_011,raman,A,control
sample_012,raman,B,test
sample_013,raman,C,test
sample_014,raman,D,test
sample_015,raman,E,control
sample_016,raman,A,control
sample_017,raman,B,test
sample_018,raman,C,control
sample_019,raman,D,test
sample_020,raman,E,test
sample_004,raman,B,duplicate
