sample_id,method,operator,condition
sample_001,raman,C,control
sample_002,raman,D,control
sample_003,raman,,test
sample_004,raman,A,control
sample_005,raman,B,control
sample_006,raman,C,control
sample_007,raman,D,control
sample_008,raman,E,control
sample_009,raman,A,test
sample_010,raman,B,control
sample_011,raman,C,control
sample_012,raman,D,control
sample_013,raman,E,control
sample_014,raman,A,control
sample_015,raman,B,control
sample_016,raman,C,control
sample_017,raman,D,test
sample_018,raman,E,control
sample_019,raman,A,test
sample_020,raman,B,test
sample_004,raman,B,duplicate
