sample_id,file_path,output_path,status,error_message,script_name,duration_seconds
badname,data/batch_demo_001/spectra/badname.csv,.,skipped,critical QC finding,normalize_csv.py,0.000000
sample_001,data/batch_demo_001/spectra/sample_001_raman.csv,outputs/batch_demo_001/preprocessed/sample_001_raman_normalized.csv,ok,,normalize_csv.py,0.132836
sample_002,data/batch_demo_001/spectra/sample_002_raman.csv,outputs/batch_demo_001/preprocessed/sample_002_raman_normalized.csv,ok,,normalize_csv.py,0.095196
sample_003,data/batch_demo_001/spectra/sample_003_raman.csv,outputs/batch_demo_001/preprocessed/sample_003_raman_normalized.csv,ok,,normalize_csv.py,0.112381
sample_004,data/batch_demo_001/spectra/sample_004_raman.csv,.,skipped,critical QC finding,normalize_csv.py,0.000000
sample_005,data/batch_demo_001/spectra/sample_005_raman.csv,outputs/batch_demo_001/preprocessed/sample_005_raman_normalized.csv,ok,,normalize_csv.py,0.125343
sample_007,data/batch_demo_001/spectra/sample_007_raman.csv,.,skipped,critical QC finding,normalize_csv.py,0.000000
sample_008,data/batch_demo_001/spectra/sample_008_raman.csv,.,skipped,critical QC finding,normalize_csv.py,0.000000
sample_009,data/batch_demo_001/spectra/sample_009_raman.csv,.,skipped,critical QC finding,normalize_csv.py,0.000000
sample_010,data/batch_demo_001/spectra/sample_010_raman.csv,outputs/batch_demo_001/preprocessed/sample_010_raman_normalized.csv,ok,,normalize_csv.py,0.101806
sample_011,data/batch_demo_001/spectra/sample_011_raman.csv,outputs/batch_demo_001/preprocessed/sample_011_raman_normalized.csv,ok,,normalize_csv.py,0.103109
sample_012,data/batch_demo_001/spectra/sample_012_raman.csv,outputs/batch_demo_001/preprocessed/sample_012_raman_normalized.csv,ok,,normalize_csv.py,0.133074
sample_013,data/batch_demo_001/spectra/sample_013_raman.csv,outputs/batch_demo_001/preprocessed/sample_013_raman_normalized.csv,ok,,normalize_csv.py,0.101868
sample_014,data/batch_demo_001/spectra/sample_014_raman.csv,outputs/batch_demo_001/preprocessed/sample_014_raman_normalized.csv,ok,,normalize_csv.py,0.112704
sample_015,data/batch_demo_001/spectra/sample_015_raman.csv,outputs/batch_demo_001/preprocessed/sample_015_raman_normalized.csv,ok,,normalize_csv.py,0.105641
sample_016,data/batch_demo_001/spectra/sample_016_raman.csv,outputs/batch_demo_001/preprocessed/sample_016_raman_normalized.csv,ok,,normalize_csv.py,0.112051
sample_017,data/batch_demo_001/spectra/sample_017_raman.csv,outputs/batch_demo_001/preprocessed/sample_017_raman_normalized.csv,ok,,normalize_csv.py,0.102154
sample_018,data/batch_demo_001/spectra/sample_018_raman.csv,outputs/batch_demo_001/preprocessed/sample_018_raman_normalized.csv,ok,,normalize_csv.py,0.107224
sample_019,data/batch_demo_001/spectra/sample_019_raman.csv,outputs/batch_demo_001/preprocessed/sample_019_raman_normalized.csv,ok,,normalize_csv.py,0.103940
sample_020,data/batch_demo_001/spectra/sample_020_raman.csv,outputs/batch_demo_001/preprocessed/sample_020_raman_normalized.csv,ok,,normalize_csv.py,0.111249
sample_021,data/batch_demo_001/spectra/sample_021_raman.csv,.,skipped,critical QC finding,normalize_csv.py,0.000000
