sample_id,method,operator,condition
sample_001,raman,D,control
sample_002,raman,E,control
sample_003,raman,,test
sample_004,raman,B,test
sample_005,raman,C,test
sample_006,raman,D,control
sample_007,raman,E,control
sample_008,raman,A,test
sample_009,raman,B,control
sample_010,raman,C,control
sample_011,raman,D,test
sample_012,raman,E,control
sample_013,raman,A,test
sample_014,raman,B,test
sample_015,raman,C,test
sample_016,raman,D,control
sample_017,raman,E,test
sample_018,raman,A,control
sample_019,raman,B,test
sample_020,raman,C,control
sample_004,raman,B,duplicate
